COD MOVIMENTO;COD PRODUTO;DATA;ID LOJA;ESTOQUE;TIPO;;;;
33;1;01/01/2021;Loja_MG;5;Entrada;;;;
34;2;01/01/2021;Loja_MG;5;Entrada;;;;
35;3;01/01/2021;Loja_MG;5;Entrada;;;;
36;4;01/01/2021;Loja_MG;5;Entrada;;;;
37;5;01/01/2021;Loja_MG;5;Entrada;;;;
38;6;01/01/2021;Loja_MG;5;Entrada;;;;
39;7;01/01/2021;Loja_MG;5;Entrada;;;;
40;8;01/01/2021;Loja_MG;5;Entrada;;;;
41;9;01/01/2021;Loja_MG;5;Entrada;;;;
42;10;01/01/2021;Loja_MG;5;Entrada;;;;
43;11;01/01/2021;Loja_MG;5;Entrada;;;;
44;12;01/01/2021;Loja_MG;5;Entrada;;;;
45;13;01/01/2021;Loja_MG;5;Entrada;;;;
46;14;01/01/2021;Loja_MG;5;Entrada;;;;
47;15;01/01/2021;Loja_MG;5;Entrada;;;;
48;16;01/01/2021;Loja_MG;5;Entrada;;;;
49;17;01/01/2021;Loja_MG;5;Entrada;;;;
50;18;01/01/2021;Loja_MG;5;Entrada;;;;
51;19;01/01/2021;Loja_MG;5;Entrada;;;;
52;20;01/01/2021;Loja_MG;5;Entrada;;;;
53;21;01/01/2021;Loja_MG;5;Entrada;;;;
54;22;01/01/2021;Loja_MG;5;Entrada;;;;
55;23;01/01/2021;Loja_MG;5;Entrada;;;;
56;24;01/01/2021;Loja_MG;5;Entrada;;;;
57;25;01/01/2021;Loja_MG;5;Entrada;;;;
58;26;01/01/2021;Loja_MG;5;Entrada;;;;
59;27;01/01/2021;Loja_MG;5;Entrada;;;;
60;28;01/01/2021;Loja_MG;5;Entrada;;;;
61;29;01/01/2021;Loja_MG;5;Entrada;;;;
62;30;01/01/2021;Loja_MG;5;Entrada;;;;
63;31;01/01/2021;Loja_MG;5;Entrada;;;;
64;32;01/01/2021;Loja_MG;5;Entrada;;;;
164;2;01/01/2021;Loja_MG;2;Entrada;;;;
173;14;01/01/2021;Loja_MG;2;Devolução;;;;
174;20;01/01/2021;Loja_MG;5;Entrada;;;;
177;18;01/01/2021;Loja_MG;3;Devolução;;;;
178;21;01/01/2021;Loja_MG;5;Entrada;;;;
180;7;01/01/2021;Loja_MG;-3;Saída;;;;
182;26;01/01/2021;Loja_MG;5;Entrada;;;;
183;6;01/01/2021;Loja_MG;2;Entrada;;;;
191;32;01/01/2021;Loja_MG;2;Entrada;;;;
193;10;01/01/2021;Loja_MG;2;Entrada;;;;
195;18;02/01/2021;Loja_MG;5;Entrada;;;;
198;8;02/01/2021;Loja_MG;3;Entrada;;;;
210;8;02/01/2021;Loja_MG;3;Entrada;;;;
215;24;02/01/2021;Loja_MG;2;Entrada;;;;
218;6;02/01/2021;Loja_MG;-1;Saída;;;;
219;22;02/01/2021;Loja_MG;-1;Saída;;;;
221;18;02/01/2021;Loja_MG;3;Entrada;;;;
222;11;02/01/2021;Loja_MG;-1;Saída;;;;
223;29;02/01/2021;Loja_MG;4;Entrada;;;;
227;26;02/01/2021;Loja_MG;2;Entrada;;;;
228;32;02/01/2021;Loja_MG;-1;Saída;;;;
239;31;02/01/2021;Loja_MG;-1;Saída;;;;
243;19;02/01/2021;Loja_MG;2;Entrada;;;;
248;3;03/01/2021;Loja_MG;2;Entrada;;;;
255;11;03/01/2021;Loja_MG;5;Entrada;;;;
259;31;03/01/2021;Loja_MG;3;Entrada;;;;
263;23;03/01/2021;Loja_MG;-1;Saída;;;;
264;17;03/01/2021;Loja_MG;-1;Saída;;;;
270;29;03/01/2021;Loja_MG;2;Entrada;;;;
275;8;03/01/2021;Loja_MG;-2;Saída;;;;
276;19;03/01/2021;Loja_MG;2;Entrada;;;;
286;20;04/01/2021;Loja_MG;-1;Saída;;;;
290;11;04/01/2021;Loja_MG;5;Entrada;;;;
292;28;04/01/2021;Loja_MG;2;Entrada;;;;
298;6;04/01/2021;Loja_MG;2;Devolução;;;;
302;1;04/01/2021;Loja_MG;2;Entrada;;;;
308;8;04/01/2021;Loja_MG;5;Entrada;;;;
316;22;04/01/2021;Loja_MG;-2;Saída;;;;
318;22;04/01/2021;Loja_MG;-1;Saída;;;;
320;11;04/01/2021;Loja_MG;3;Entrada;;;;
326;11;04/01/2021;Loja_MG;-3;Saída;;;;
331;12;05/01/2021;Loja_MG;2;Entrada;;;;
338;21;05/01/2021;Loja_MG;-3;Saída;;;;
341;11;05/01/2021;Loja_MG;6;Entrada;;;;
359;21;05/01/2021;Loja_MG;-2;Saída;;;;
361;17;05/01/2021;Loja_MG;2;Entrada;;;;
367;10;05/01/2021;Loja_MG;-1;Saída;;;;
