COD MOVIMENTO;COD PRODUTO;DATA;ID LOJA;ESTOQUE;TIPO;;;;
1;1;01/01/2021;Loja_RJ;5;Entrada;;;;
2;2;01/01/2021;Loja_RJ;5;Entrada;;;;
3;3;01/01/2021;Loja_RJ;5;Entrada;;;;
4;4;01/01/2021;Loja_RJ;5;Entrada;;;;
5;5;01/01/2021;Loja_RJ;5;Entrada;;;;
6;6;01/01/2021;Loja_RJ;5;Entrada;;;;
7;7;01/01/2021;Loja_RJ;5;Entrada;;;;
8;8;01/01/2021;Loja_RJ;5;Entrada;;;;
9;9;01/01/2021;Loja_RJ;5;Entrada;;;;
10;10;01/01/2021;Loja_RJ;5;Entrada;;;;
11;11;01/01/2021;Loja_RJ;5;Entrada;;;;
12;12;01/01/2021;Loja_RJ;5;Entrada;;;;
13;13;01/01/2021;Loja_RJ;5;Entrada;;;;
14;14;01/01/2021;Loja_RJ;5;Entrada;;;;
15;15;01/01/2021;Loja_RJ;5;Entrada;;;;
16;16;01/01/2021;Loja_RJ;5;Entrada;;;;
17;17;01/01/2021;Loja_RJ;5;Entrada;;;;
18;18;01/01/2021;Loja_RJ;5;Entrada;;;;
19;19;01/01/2021;Loja_RJ;5;Entrada;;;;
20;20;01/01/2021;Loja_RJ;5;Entrada;;;;
21;21;01/01/2021;Loja_RJ;5;Entrada;;;;
22;22;01/01/2021;Loja_RJ;5;Entrada;;;;
23;23;01/01/2021;Loja_RJ;5;Entrada;;;;
24;24;01/01/2021;Loja_RJ;5;Entrada;;;;
25;25;01/01/2021;Loja_RJ;5;Entrada;;;;
26;26;01/01/2021;Loja_RJ;5;Entrada;;;;
27;27;01/01/2021;Loja_RJ;5;Entrada;;;;
28;28;01/01/2021;Loja_RJ;5;Entrada;;;;
29;29;01/01/2021;Loja_RJ;5;Entrada;;;;
30;30;01/01/2021;Loja_RJ;5;Entrada;;;;
31;31;01/01/2021;Loja_RJ;5;Entrada;;;;
32;32;01/01/2021;Loja_RJ;5;Entrada;;;;
161;6;01/01/2021;Loja_RJ;3;Entrada;;;;
167;5;01/01/2021;Loja_RJ;2;Entrada;;;;
171;27;01/01/2021;Loja_RJ;4;Entrada;;;;
186;19;01/01/2021;Loja_RJ;3;Entrada;;;;
189;11;01/01/2021;Loja_RJ;-1;Saída;;;;
190;19;01/01/2021;Loja_RJ;-2;Saída;;;;
200;15;02/01/2021;Loja_RJ;2;Devolução;;;;
205;21;02/01/2021;Loja_RJ;5;Entrada;;;;
208;32;02/01/2021;Loja_RJ;2;Entrada;;;;
211;12;02/01/2021;Loja_RJ;-1;Saída;;;;
213;27;02/01/2021;Loja_RJ;-2;Saída;;;;
214;13;02/01/2021;Loja_RJ;3;Entrada;;;;
226;21;02/01/2021;Loja_RJ;-3;Saída;;;;
232;10;02/01/2021;Loja_RJ;2;Entrada;;;;
237;13;02/01/2021;Loja_RJ;-2;Saída;;;;
244;21;03/01/2021;Loja_RJ;5;Entrada;;;;
247;4;03/01/2021;Loja_RJ;8;Devolução;;;;
249;30;03/01/2021;Loja_RJ;-1;Saída;;;;
253;10;03/01/2021;Loja_RJ;6;Entrada;;;;
254;12;03/01/2021;Loja_RJ;4;Entrada;;;;
256;5;03/01/2021;Loja_RJ;-1;Saída;;;;
265;5;03/01/2021;Loja_RJ;-3;Saída;;;;
268;32;03/01/2021;Loja_RJ;-1;Saída;;;;
272;15;03/01/2021;Loja_RJ;2;Entrada;;;;
281;6;04/01/2021;Loja_RJ;2;Entrada;;;;
284;12;04/01/2021;Loja_RJ;-2;Saída;;;;
287;8;04/01/2021;Loja_RJ;-1;Saída;;;;
293;23;04/01/2021;Loja_RJ;-1;Saída;;;;
294;10;04/01/2021;Loja_RJ;8;Entrada;;;;
295;16;04/01/2021;Loja_RJ;2;Entrada;;;;
304;8;04/01/2021;Loja_RJ;-1;Saída;;;;
306;20;04/01/2021;Loja_RJ;-1;Saída;;;;
307;6;04/01/2021;Loja_RJ;2;Devolução;;;;
310;9;04/01/2021;Loja_RJ;3;Devolução;;;;
311;11;04/01/2021;Loja_RJ;2;Entrada;;;;
313;14;04/01/2021;Loja_RJ;-3;Saída;;;;
315;7;04/01/2021;Loja_RJ;2;Entrada;;;;
322;7;04/01/2021;Loja_RJ;5;Entrada;;;;
327;14;04/01/2021;Loja_RJ;4;Devolução;;;;
332;8;05/01/2021;Loja_RJ;-3;Saída;;;;
334;6;05/01/2021;Loja_RJ;2;Entrada;;;;
340;20;05/01/2021;Loja_RJ;4;Entrada;;;;
342;32;05/01/2021;Loja_RJ;2;Entrada;;;;
353;22;05/01/2021;Loja_RJ;-2;Saída;;;;
355;20;05/01/2021;Loja_RJ;11;Entrada;;;;
357;20;05/01/2021;Loja_RJ;-1;Saída;;;;
363;24;05/01/2021;Loja_RJ;-1;Saída;;;;
370;24;05/01/2021;Loja_RJ;-5;Saída;;;;
377;5;06/01/2021;Loja_RJ;-1;Saída;;;;
379;5;06/01/2021;Loja_RJ;4;Entrada;;;;
388;7;06/01/2021;Loja_RJ;2;Entrada;;;;
391;22;06/01/2021;Loja_RJ;5;Entrada;;;;
408;8;06/01/2021;Loja_RJ;-10;Saída;;;;
423;11;07/01/2021;Loja_RJ;5;Entrada;;;;
427;15;07/01/2021;Loja_RJ;2;Entrada;;;;
431;28;07/01/2021;Loja_RJ;2;Entrada;;;;
435;11;07/01/2021;Loja_RJ;2;Entrada;;;;
436;11;07/01/2021;Loja_RJ;-1;Saída;;;;
439;21;07/01/2021;Loja_RJ;-2;Saída;;;;
449;8;07/01/2021;Loja_RJ;2;Entrada;;;;
450;9;07/01/2021;Loja_RJ;3;Entrada;;;;
459;21;08/01/2021;Loja_RJ;-1;Saída;;;;
465;31;08/01/2021;Loja_RJ;3;Entrada;;;;
470;3;08/01/2021;Loja_RJ;2;Entrada;;;;
471;2;08/01/2021;Loja_RJ;-1;Saída;;;;
473;1;08/01/2021;Loja_RJ;-3;Saída;;;;
476;23;08/01/2021;Loja_RJ;-1;Saída;;;;
487;2;08/01/2021;Loja_RJ;2;Entrada;;;;
488;25;08/01/2021;Loja_RJ;2;Entrada;;;;
492;19;08/01/2021;Loja_RJ;-2;Saída;;;;
498;14;09/01/2021;Loja_RJ;-1;Saída;;;;
499;6;09/01/2021;Loja_RJ;3;Entrada;;;;
501;7;09/01/2021;Loja_RJ;-3;Saída;;;;
503;26;09/01/2021;Loja_RJ;4;Devolução;;;;
513;31;09/01/2021;Loja_RJ;2;Devolução;;;;
515;25;09/01/2021;Loja_RJ;3;Entrada;;;;
522;27;09/01/2021;Loja_RJ;-1;Saída;;;;
530;18;09/01/2021;Loja_RJ;-4;Saída;;;;
557;13;10/01/2021;Loja_RJ;-1;Saída;;;;
565;12;10/01/2021;Loja_RJ;-3;Saída;;;;
580;8;10/01/2021;Loja_RJ;2;Entrada;;;;
604;22;11/01/2021;Loja_RJ;3;Entrada;;;;
606;24;11/01/2021;Loja_RJ;-6;Saída;;;;
615;27;11/01/2021;Loja_RJ;2;Entrada;;;;
621;9;11/01/2021;Loja_RJ;-1;Saída;;;;
625;30;11/01/2021;Loja_RJ;-1;Saída;;;;
639;20;12/01/2021;Loja_RJ;-2;Saída;;;;
643;28;12/01/2021;Loja_RJ;-3;Saída;;;;
648;12;12/01/2021;Loja_RJ;-2;Saída;;;;
650;4;12/01/2021;Loja_RJ;2;Entrada;;;;
654;11;12/01/2021;Loja_RJ;-1;Saída;;;;
658;11;12/01/2021;Loja_RJ;-3;Saída;;;;
659;28;12/01/2021;Loja_RJ;-1;Saída;;;;
663;21;12/01/2021;Loja_RJ;-3;Saída;;;;
664;26;13/01/2021;Loja_RJ;2;Entrada;;;;
668;28;13/01/2021;Loja_RJ;2;Entrada;;;;
671;4;13/01/2021;Loja_RJ;-4;Saída;;;;
677;18;13/01/2021;Loja_RJ;9;Entrada;;;;
678;20;13/01/2021;Loja_RJ;2;Entrada;;;;
683;13;13/01/2021;Loja_RJ;-1;Saída;;;;
689;19;13/01/2021;Loja_RJ;-4;Saída;;;;
697;11;13/01/2021;Loja_RJ;-1;Saída;;;;
704;2;13/01/2021;Loja_RJ;-2;Saída;;;;
706;32;13/01/2021;Loja_RJ;-1;Saída;;;;
707;3;14/01/2021;Loja_RJ;3;Entrada;;;;
708;13;14/01/2021;Loja_RJ;-2;Saída;;;;
711;6;14/01/2021;Loja_RJ;-2;Saída;;;;
713;25;14/01/2021;Loja_RJ;2;Entrada;;;;
720;18;14/01/2021;Loja_RJ;3;Entrada;;;;
733;23;14/01/2021;Loja_RJ;2;Entrada;;;;
734;3;14/01/2021;Loja_RJ;2;Entrada;;;;
740;21;14/01/2021;Loja_RJ;-2;Saída;;;;
752;22;15/01/2021;Loja_RJ;3;Entrada;;;;
