COD MOVIMENTO;COD PRODUTO;DATA;ID LOJA;ESTOQUE;TIPO;;;;
65;1;01/01/2021;Loja_BA;5;Entrada;;;;
66;2;01/01/2021;Loja_BA;5;Entrada;;;;
67;3;01/01/2021;Loja_BA;5;Entrada;;;;
68;4;01/01/2021;Loja_BA;5;Entrada;;;;
69;5;01/01/2021;Loja_BA;5;Entrada;;;;
70;6;01/01/2021;Loja_BA;5;Entrada;;;;
71;7;01/01/2021;Loja_BA;5;Entrada;;;;
72;8;01/01/2021;Loja_BA;5;Entrada;;;;
73;9;01/01/2021;Loja_BA;5;Entrada;;;;
74;10;01/01/2021;Loja_BA;5;Entrada;;;;
75;11;01/01/2021;Loja_BA;5;Entrada;;;;
76;12;01/01/2021;Loja_BA;5;Entrada;;;;
77;13;01/01/2021;Loja_BA;5;Entrada;;;;
78;14;01/01/2021;Loja_BA;5;Entrada;;;;
79;15;01/01/2021;Loja_BA;5;Entrada;;;;
80;16;01/01/2021;Loja_BA;5;Entrada;;;;
81;17;01/01/2021;Loja_BA;5;Entrada;;;;
82;18;01/01/2021;Loja_BA;5;Entrada;;;;
83;19;01/01/2021;Loja_BA;5;Entrada;;;;
84;20;01/01/2021;Loja_BA;5;Entrada;;;;
85;21;01/01/2021;Loja_BA;5;Entrada;;;;
86;22;01/01/2021;Loja_BA;5;Entrada;;;;
87;23;01/01/2021;Loja_BA;5;Entrada;;;;
88;24;01/01/2021;Loja_BA;5;Entrada;;;;
89;25;01/01/2021;Loja_BA;5;Entrada;;;;
90;26;01/01/2021;Loja_BA;5;Entrada;;;;
91;27;01/01/2021;Loja_BA;5;Entrada;;;;
92;28;01/01/2021;Loja_BA;5;Entrada;;;;
93;29;01/01/2021;Loja_BA;5;Entrada;;;;
94;30;01/01/2021;Loja_BA;5;Entrada;;;;
95;31;01/01/2021;Loja_BA;5;Entrada;;;;
96;32;01/01/2021;Loja_BA;5;Entrada;;;;
163;4;01/01/2021;Loja_BA;2;Entrada;;;;
