COD MOVIMENTO;COD PRODUTO;DATA;ID LOJA;ESTOQUE;TIPO;;;;
97;1;01/01/2021;Loja_SC;5;Entrada;;;;
98;2;01/01/2021;Loja_SC;5;Entrada;;;;
99;3;01/01/2021;Loja_SC;5;Entrada;;;;
100;4;01/01/2021;Loja_SC;5;Entrada;;;;
101;5;01/01/2021;Loja_SC;5;Entrada;;;;
102;6;01/01/2021;Loja_SC;5;Entrada;;;;
103;7;01/01/2021;Loja_SC;5;Entrada;;;;
104;8;01/01/2021;Loja_SC;5;Entrada;;;;
105;9;01/01/2021;Loja_SC;5;Entrada;;;;
106;10;01/01/2021;Loja_SC;5;Entrada;;;;
107;11;01/01/2021;Loja_SC;5;Entrada;;;;
108;12;01/01/2021;Loja_SC;5;Entrada;;;;
109;13;01/01/2021;Loja_SC;5;Entrada;;;;
110;14;01/01/2021;Loja_SC;5;Entrada;;;;
111;15;01/01/2021;Loja_SC;5;Entrada;;;;
112;16;01/01/2021;Loja_SC;5;Entrada;;;;
113;17;01/01/2021;Loja_SC;5;Entrada;;;;
114;18;01/01/2021;Loja_SC;5;Entrada;;;;
115;19;01/01/2021;Loja_SC;5;Entrada;;;;
116;20;01/01/2021;Loja_SC;5;Entrada;;;;
117;21;01/01/2021;Loja_SC;5;Entrada;;;;
118;22;01/01/2021;Loja_SC;5;Entrada;;;;
119;23;01/01/2021;Loja_SC;5;Entrada;;;;
120;24;01/01/2021;Loja_SC;5;Entrada;;;;
121;25;01/01/2021;Loja_SC;5;Entrada;;;;
122;26;01/01/2021;Loja_SC;5;Entrada;;;;
123;27;01/01/2021;Loja_SC;5;Entrada;;;;
124;28;01/01/2021;Loja_SC;5;Entrada;;;;
125;29;01/01/2021;Loja_SC;5;Entrada;;;;
126;30;01/01/2021;Loja_SC;5;Entrada;;;;
127;31;01/01/2021;Loja_SC;5;Entrada;;;;
128;32;01/01/2021;Loja_SC;5;Entrada;;;;
165;28;01/01/2021;Loja_SC;2;Entrada;;;;
166;26;01/01/2021;Loja_SC;5;Entrada;;;;
168;9;01/01/2021;Loja_SC;3;Entrada;;;;
187;31;01/01/2021;Loja_SC;2;Entrada;;;;
188;9;01/01/2021;Loja_SC;-2;Saída;;;;
192;4;01/01/2021;Loja_SC;4;Entrada;;;;
196;22;02/01/2021;Loja_SC;4;Entrada;;;;
197;16;02/01/2021;Loja_SC;2;Entrada;;;;
207;28;02/01/2021;Loja_SC;3;Entrada;;;;
212;7;02/01/2021;Loja_SC;3;Entrada;;;;
233;28;02/01/2021;Loja_SC;2;Entrada;;;;
245;22;03/01/2021;Loja_SC;2;Entrada;;;;
246;29;03/01/2021;Loja_SC;3;Entrada;;;;
250;9;03/01/2021;Loja_SC;2;Entrada;;;;
282;29;04/01/2021;Loja_SC;-1;Saída;;;;
285;26;04/01/2021;Loja_SC;9;Entrada;;;;
288;3;04/01/2021;Loja_SC;4;Entrada;;;;
